popsize, maxsubsize, migration, mutation, rec1, rec2, numinds, numindssub, maxrepro, overdom, numgens, parthreduction, parthpenalty, boo
5000 100 50000 10000 0.5 0.5 2 2 300 0 1000 0.01 0.03 199
5000 100 50000 10000 0.5 0.5 2 2 300 0 1000 0.01 0.04 200
5000 100 50000 10000 0.5 0.5 1 10 300 0 1000 0.01 0 201
5000 100 50000 10000 0.5 0.5 1 10 300 0 1000 0.01 0.0033333333333333335 202
5000 100 50000 10000 0.5 0.5 1 10 300 0 1000 0.01 0.006666666666666667 203
5000 100 50000 10000 0.5 0.5 1 10 300 0 1000 0.01 0.03 204
5000 100 50000 10000 0.5 0.5 1 10 300 0 1000 0.01 0.04 205
5000 100 50000 10000 0.5 0.5 10 1 300 0 1000 0.01 0 206
5000 100 50000 10000 0.5 0.5 10 1 300 0 1000 0.01 0.0033333333333333335 207
5000 100 50000 10000 0.5 0.5 10 1 300 0 1000 0.01 0.006666666666666667 208
5000 100 50000 10000 0.5 0.5 10 1 300 0 1000 0.01 0.03 209
5000 100 50000 10000 0.5 0.5 10 1 300 0 1000 0.01 0.04 210
5000 100 50000 10000 0.5 0.5 12 6 300 0 1000 0.01 0 211
5000 100 50000 10000 0.5 0.5 12 6 300 0 1000 0.01 0.0033333333333333335 212
5000 100 50000 10000 0.5 0.5 12 6 300 0 1000 0.01 0.006666666666666667 213
5000 100 50000 10000 0.5 0.5 12 6 300 0 1000 0.01 0.03 214
5000 100 50000 10000 0.5 0.5 12 6 300 0 1000 0.01 0.04 215
5000 100 50000 10000 0.5 0.5 24 12 300 0 1000 0.01 0 216
5000 100 50000 10000 0.5 0.5 24 12 300 0 1000 0.01 0.0033333333333333335 217
5000 100 50000 10000 0.5 0.5 24 12 300 0 1000 0.01 0.006666666666666667 218
5000 100 50000 10000 0.5 0.5 24 12 300 0 1000 0.01 0.03 219
5000 100 50000 10000 0.5 0.5 24 12 300 0 1000 0.01 0.04 220
5000 100 50000 10000 0.5 0.5 50 25 300 0 1000 0.01 0 221
5000 100 50000 10000 0.5 0.5 50 25 300 0 1000 0.01 0.0033333333333333335 222
5000 100 50000 10000 0.5 0.5 50 25 300 0 1000 0.01 0.006666666666666667 223
5000 100 50000 10000 0.5 0.5 50 25 300 0 1000 0.01 0.03 224
5000 100 50000 10000 0.5 0.5 50 25 300 0 1000 0.01 0.04 225
5000 100 50000 100000 0.5 0.5 1 1 300 0 1000 0.01 0 226
5000 100 50000 100000 0.5 0.5 1 1 300 0 1000 0.01 0.0033333333333333335 227
5000 100 50000 100000 0.5 0.5 1 1 300 0 1000 0.01 0.006666666666666667 228
5000 100 50000 100000 0.5 0.5 1 1 300 0 1000 0.01 0.03 229
5000 100 50000 100000 0.5 0.5 1 1 300 0 1000 0.01 0.04 230
5000 100 50000 100000 0.5 0.5 1 2 300 0 1000 0.01 0 231
5000 100 50000 100000 0.5 0.5 1 2 300 0 1000 0.01 0.0033333333333333335 232
5000 100 50000 100000 0.5 0.5 1 2 300 0 1000 0.01 0.006666666666666667 233
5000 100 50000 100000 0.5 0.5 1 2 300 0 1000 0.01 0.03 234
5000 100 50000 100000 0.5 0.5 1 2 300 0 1000 0.01 0.04 235
5000 100 50000 100000 0.5 0.5 2 1 300 0 1000 0.01 0 236
5000 100 50000 100000 0.5 0.5 2 1 300 0 1000 0.01 0.0033333333333333335 237
5000 100 50000 100000 0.5 0.5 2 1 300 0 1000 0.01 0.006666666666666667 238
5000 100 50000 100000 0.5 0.5 2 1 300 0 1000 0.01 0.03 239
5000 100 50000 100000 0.5 0.5 2 1 300 0 1000 0.01 0.04 240
5000 100 50000 100000 0.5 0.5 2 2 300 0 1000 0.01 0 241
5000 100 50000 100000 0.5 0.5 2 2 300 0 1000 0.01 0.0033333333333333335 242
5000 100 50000 100000 0.5 0.5 2 2 300 0 1000 0.01 0.006666666666666667 243
5000 100 50000 100000 0.5 0.5 2 2 300 0 1000 0.01 0.03 244
5000 100 50000 100000 0.5 0.5 2 2 300 0 1000 0.01 0.04 245
5000 100 50000 100000 0.5 0.5 1 10 300 0 1000 0.01 0 246
5000 100 50000 100000 0.5 0.5 1 10 300 0 1000 0.01 0.0033333333333333335 247
5000 100 50000 100000 0.5 0.5 1 10 300 0 1000 0.01 0.006666666666666667 248
5000 100 50000 100000 0.5 0.5 1 10 300 0 1000 0.01 0.03 249
5000 100 50000 100000 0.5 0.5 1 10 300 0 1000 0.01 0.04 250
5000 100 50000 100000 0.5 0.5 10 1 300 0 1000 0.01 0 251
5000 100 50000 100000 0.5 0.5 10 1 300 0 1000 0.01 0.0033333333333333335 252
5000 100 50000 100000 0.5 0.5 10 1 300 0 1000 0.01 0.006666666666666667 253
5000 100 50000 100000 0.5 0.5 10 1 300 0 1000 0.01 0.03 254
5000 100 50000 100000 0.5 0.5 10 1 300 0 1000 0.01 0.04 255
5000 100 50000 100000 0.5 0.5 12 6 300 0 1000 0.01 0 256
5000 100 50000 100000 0.5 0.5 12 6 300 0 1000 0.01 0.0033333333333333335 257
5000 100 50000 100000 0.5 0.5 12 6 300 0 1000 0.01 0.006666666666666667 258
5000 100 50000 100000 0.5 0.5 12 6 300 0 1000 0.01 0.03 259
5000 100 50000 100000 0.5 0.5 12 6 300 0 1000 0.01 0.04 260
5000 100 50000 100000 0.5 0.5 24 12 300 0 1000 0.01 0 261
5000 100 50000 100000 0.5 0.5 24 12 300 0 1000 0.01 0.0033333333333333335 262
5000 100 50000 100000 0.5 0.5 24 12 300 0 1000 0.01 0.006666666666666667 263
5000 100 50000 100000 0.5 0.5 24 12 300 0 1000 0.01 0.03 264
5000 100 50000 100000 0.5 0.5 24 12 300 0 1000 0.01 0.04 265
5000 100 50000 100000 0.5 0.5 50 25 300 0 1000 0.01 0 266
5000 100 50000 100000 0.5 0.5 50 25 300 0 1000 0.01 0.0033333333333333335 267
5000 100 50000 100000 0.5 0.5 50 25 300 0 1000 0.01 0.006666666666666667 268
5000 100 50000 100000 0.5 0.5 50 25 300 0 1000 0.01 0.03 269
5000 100 50000 100000 0.5 0.5 50 25 300 0 1000 0.01 0.04 270
5000 100 50000 10000000 0.5 0.5 1 1 300 0 1000 0.01 0 271
5000 100 50000 10000000 0.5 0.5 1 1 300 0 1000 0.01 0.0033333333333333335 272
5000 100 50000 10000000 0.5 0.5 1 1 300 0 1000 0.01 0.006666666666666667 273
5000 100 50000 10000000 0.5 0.5 1 1 300 0 1000 0.01 0.03 274
5000 100 50000 10000000 0.5 0.5 1 1 300 0 1000 0.01 0.04 275
5000 100 50000 10000000 0.5 0.5 1 2 300 0 1000 0.01 0 276
5000 100 50000 10000000 0.5 0.5 1 2 300 0 1000 0.01 0.0033333333333333335 277
5000 100 50000 10000000 0.5 0.5 1 2 300 0 1000 0.01 0.006666666666666667 278
5000 100 50000 10000000 0.5 0.5 1 2 300 0 1000 0.01 0.03 279
5000 100 50000 10000000 0.5 0.5 1 2 300 0 1000 0.01 0.04 280
5000 100 50000 10000000 0.5 0.5 2 1 300 0 1000 0.01 0 281
5000 100 50000 10000000 0.5 0.5 2 1 300 0 1000 0.01 0.0033333333333333335 282
5000 100 50000 10000000 0.5 0.5 2 1 300 0 1000 0.01 0.006666666666666667 283
5000 100 50000 10000000 0.5 0.5 2 1 300 0 1000 0.01 0.03 284
5000 100 50000 10000000 0.5 0.5 2 1 300 0 1000 0.01 0.04 285
5000 100 50000 10000000 0.5 0.5 2 2 300 0 1000 0.01 0 286
5000 100 50000 10000000 0.5 0.5 2 2 300 0 1000 0.01 0.0033333333333333335 287
5000 100 50000 10000000 0.5 0.5 2 2 300 0 1000 0.01 0.006666666666666667 288
5000 100 50000 10000000 0.5 0.5 2 2 300 0 1000 0.01 0.03 289
5000 100 50000 10000000 0.5 0.5 2 2 300 0 1000 0.01 0.04 290
5000 100 50000 10000000 0.5 0.5 1 10 300 0 1000 0.01 0 291
