metapopulation size: 3000
subpopulation size: 30
sexual reproduction produces 10 offspring
parthenogenetic reproduction produces 10 offspring
penalty for parthenogenetic-capable females reproducing sexually: 0
migration rate: 0
mutation rate: 0.00016666666666666666
recombination rate, interval 1: 0.5
recombination rate, interval 2: 0.5
each individual in the main population encounters 2 individuals
each individual in the subpopulation encounters 1 individuals
fitness overdominance (0=no, 1=yes): 1
maximum value of parthenogenetic allele that appeared: 0.49985689353337454
random seed: 355
generation     mean_Loc2           mean_Loc3           mean_Loc1           f_prod_sexually     sexual_offspring    f_prod_parth        parth_offspring     
180            0.00804             0.00030             0.50000             1109.00000          11090.00000         397.00000           60.00000            
181            0.00950             0.00000             0.50000             1127.00000          11270.00000         387.00000           50.00000            
182            0.00903             0.00000             0.50000             1140.00000          11400.00000         369.00000           50.00000            
183            0.01026             0.00041             0.50000             1115.00000          11150.00000         327.00000           30.00000            
184            0.00909             0.00051             0.50000             1145.00000          11450.00000         421.00000           10.00000            
185            0.00939             0.00060             0.50000             1140.00000          11400.00000         342.00000           50.00000            
186            0.00904             0.00017             0.50000             1095.00000          10950.00000         347.00000           20.00000            
187            0.00912             0.00037             0.50000             1161.00000          11610.00000         378.00000           30.00000            
188            0.00806             0.00077             0.50000             1109.00000          11090.00000         387.00000           30.00000            
189            0.00798             0.00160             0.50000             1112.00000          11120.00000         371.00000           50.00000            
190            0.00827             0.00182             0.50000             1140.00000          11400.00000         401.00000           30.00000            
191            0.00959             0.00154             0.50000             1107.00000          11070.00000         379.00000           30.00000            
192            0.01008             0.00143             0.50000             1099.00000          10990.00000         397.00000           30.00000            
193            0.00990             0.00107             0.50000             1144.00000          11440.00000         330.00000           50.00000            
194            0.01127             0.00094             0.50000             1129.00000          11290.00000         339.00000           10.00000            
195            0.00855             0.00097             0.50000             1118.00000          11180.00000         409.00000           50.00000            
196            0.00864             0.00118             0.50000             1095.00000          10950.00000         401.00000           20.00000            
197            0.00819             0.00079             0.50000             1134.00000          11340.00000         375.00000           40.00000            
198            0.00680             0.00076             0.50000             1111.00000          11110.00000         374.00000           10.00000            
199            0.00761             0.00035             0.50000             1123.00000          11230.00000         391.00000           60.00000            
200            0.00895             0.00032             0.50000             1107.00000          11070.00000         372.00000           60.00000            
201            0.00769             0.00019             0.50000             1157.00000          11570.00000         328.00000           40.00000            
202            0.00681             0.00006             0.50000             1126.00000          11260.00000         353.00000           20.00000            
203            0.00870             0.00010             0.50000             1104.00000          11040.00000         382.00000           0.00000             
204            0.01152             0.00003             0.50000             1150.00000          11500.00000         385.00000           50.00000            
205            0.01491             0.00019             0.50000             1132.00000          11320.00000         365.00000           30.00000            
206            0.01467             0.00044             0.50000             1095.00000          10950.00000         358.00000           50.00000            
207            0.01552             0.00052             0.50000             1138.00000          11380.00000         329.00000           50.00000            
208            0.01654             0.00038             0.50000             1117.00000          11170.00000         384.00000           50.00000            
209            0.01830             0.00025             0.50000             1152.00000          11520.00000         336.00000           60.00000            
210            0.01942             0.00044             0.50000             1113.00000          11130.00000         361.00000           80.00000            
211            0.02063             0.00039             0.50000             1108.00000          11080.00000         377.00000           50.00000            
212            0.01792             0.00024             0.50000             1159.00000          11590.00000         378.00000           80.00000            
213            0.01735             0.00012             0.50000             1129.00000          11290.00000         382.00000           100.00000           
214            0.01882             0.00010             0.50000             1147.00000          11470.00000         377.00000           50.00000            
215            0.01782             0.00105             0.50000             1096.00000          10960.00000         379.00000           80.00000            
216            0.01671             0.00115             0.50000             1139.00000          11390.00000         352.00000           40.00000            
217            0.01613             0.00122             0.50000             1155.00000          11550.00000         364.00000           90.00000            
218            0.01528             0.00061             0.50000             1137.00000          11370.00000         363.00000           60.00000            
219            0.01679             0.00023             0.50000             1107.00000          11070.00000         393.00000           50.00000            
220            0.02097             0.00014             0.50000             1102.00000          11020.00000         409.00000           60.00000            
221            0.02080             0.00000             0.50000             1137.00000          11370.00000         373.00000           80.00000            
222            0.01939             0.00031             0.50000             1099.00000          10990.00000         414.00000           50.00000            
223            0.02136             0.00057             0.50000             1113.00000          11130.00000         357.00000           60.00000            
224            0.02035             0.00127             0.50000             1135.00000          11350.00000         325.00000           60.00000            
225            0.02084             0.00197             0.50000             1097.00000          10970.00000         371.00000           90.00000            
226            0.01935             0.00302             0.50000             1165.00000          11650.00000         336.00000           60.00000            
227            0.01633             0.00145             0.50000             1128.00000          11280.00000         397.00000           40.00000            
228            0.01643             0.00175             0.50000             1135.00000          11350.00000         351.00000           30.00000            
229            0.01586             0.00134             0.50000             1143.00000          11430.00000         368.00000           50.00000            
230            0.01718             0.00160             0.50000             1151.00000          11510.00000         363.00000           50.00000            
231            0.01307             0.00185             0.50000             1104.00000          11040.00000         418.00000           130.00000           
232            0.01197             0.00182             0.50000             1128.00000          11280.00000         383.00000           90.00000            
233            0.01178             0.00156             0.50000             1123.00000          11230.00000         373.00000           50.00000            
234            0.01102             0.00092             0.50000             1121.00000          11210.00000         407.00000           70.00000            
235            0.01029             0.00125             0.50000             1154.00000          11540.00000         346.00000           20.00000            
236            0.00864             0.00093             0.50000             1152.00000          11520.00000         402.00000           50.00000            
237            0.00763             0.00121             0.50000             1131.00000          11310.00000         415.00000           40.00000            
238            0.00594             0.00072             0.50000             1141.00000          11410.00000         357.00000           20.00000            
239            0.00541             0.00130             0.50000             1146.00000          11460.00000         396.00000           30.00000            
240            0.00468             0.00094             0.50000             1130.00000          11300.00000         355.00000           20.00000            
241            0.00562             0.00069             0.50000             1129.00000          11290.00000         362.00000           10.00000            
242            0.00399             0.00051             0.50000             1155.00000          11550.00000         371.00000           20.00000            
243            0.00330             0.00036             0.50000             1128.00000          11280.00000         357.00000           30.00000            
244            0.00275             0.00041             0.50000             1104.00000          11040.00000         399.00000           0.00000             
245            0.00190             0.00047             0.50000             1109.00000          11090.00000         358.00000           20.00000            
246            0.00249             0.00028             0.50000             1108.00000          11080.00000         383.00000           0.00000             
247            0.00311             0.00046             0.50000             1145.00000          11450.00000         347.00000           10.00000            
248            0.00224             0.00064             0.50000             1101.00000          11010.00000         410.00000           30.00000            
249            0.00139             0.00038             0.50000             1110.00000          11100.00000         383.00000           20.00000            
250            0.00166             0.00063             0.50000             1128.00000          11280.00000         354.00000           0.00000             
251            0.00227             0.00084             0.50000             1090.00000          10900.00000         403.00000           0.00000             
252            0.00287             0.00120             0.50000             1127.00000          11270.00000         362.00000           0.00000             
253            0.00293             0.00118             0.50000             1107.00000          11070.00000         358.00000           10.00000            
254            0.00339             0.00083             0.50000             1114.00000          11140.00000         359.00000           20.00000            
255            0.00344             0.00071             0.50000             1094.00000          10940.00000         399.00000           20.00000            
256            0.00372             0.00081             0.50000             1110.00000          11100.00000         364.00000           0.00000             
257            0.00390             0.00068             0.50000             1182.00000          11820.00000         333.00000           0.00000             
258            0.00426             0.00143             0.50000             1125.00000          11250.00000         385.00000           20.00000            
259            0.00347             0.00168             0.50000             1126.00000          11260.00000         410.00000           30.00000            
260            0.00365             0.00242             0.50000             1111.00000          11110.00000         396.00000           10.00000            
261            0.00394             0.00205             0.50000             1117.00000          11170.00000         363.00000           10.00000            
262            0.00488             0.00135             0.50000             1143.00000          11430.00000         330.00000           10.00000            
263            0.00470             0.00107             0.50000             1130.00000          11300.00000         309.00000           10.00000            
264            0.00449             0.00167             0.50000             1126.00000          11260.00000         383.00000           10.00000            
265            0.00412             0.00057             0.50000             1124.00000          11240.00000         397.00000           20.00000            
266            0.00354             0.00011             0.50000             1105.00000          11050.00000         424.00000           30.00000            
267            0.00307             0.00014             0.50000             1117.00000          11170.00000         342.00000           0.00000             
268            0.00248             0.00011             0.50000             1104.00000          11040.00000         349.00000           0.00000             
269            0.00219             0.00015             0.50000             1107.00000          11070.00000         393.00000           0.00000             
270            0.00229             0.00014             0.50000             1110.00000          11100.00000         388.00000           20.00000            
271            0.00255             0.00018             0.50000             1148.00000          11480.00000         345.00000           10.00000            
272            0.00227             0.00015             0.50000             1117.00000          11170.00000         357.00000           10.00000            
273            0.00312             0.00054             0.50000             1103.00000          11030.00000         459.00000           0.00000             
274            0.00308             0.00117             0.50000             1108.00000          11080.00000         367.00000           0.00000             
275            0.00320             0.00082             0.50000             1093.00000          10930.00000         392.00000           0.00000             
276            0.00457             0.00141             0.50000             1142.00000          11420.00000         370.00000           10.00000            
277            0.00333             0.00144             0.50000             1127.00000          11270.00000         373.00000           10.00000            
278            0.00336             0.00211             0.50000             1127.00000          11270.00000         455.00000           20.00000            
279            0.00491             0.00159             0.50000             1128.00000          11280.00000         368.00000           0.00000             
280            0.00423             0.00280             0.50000             1141.00000          11410.00000         404.00000           0.00000             
281            0.00493             0.00356             0.50000             1135.00000          11350.00000         400.00000           40.00000            
282            0.00492             0.00361             0.50000             1142.00000          11420.00000         370.00000           40.00000            
283            0.00694             0.00371             0.50000             1132.00000          11320.00000         371.00000           10.00000            
284            0.00991             0.00358             0.50000             1118.00000          11180.00000         349.00000           0.00000             
285            0.00877             0.00266             0.50000             1106.00000          11060.00000         350.00000           20.00000            
286            0.00849             0.00198             0.50000             1145.00000          11450.00000         419.00000           20.00000            
287            0.00868             0.00175             0.50000             1133.00000          11330.00000         355.00000           40.00000            
288            0.00664             0.00165             0.50000             1164.00000          11640.00000         365.00000           20.00000            
289            0.00677             0.00212             0.50000             1116.00000          11160.00000         390.00000           40.00000            
290            0.00930             0.00218             0.50000             1146.00000          11460.00000         373.00000           10.00000            
291            0.01011             0.00190             0.50000             1140.00000          11400.00000         351.00000           40.00000            
292            0.00979             0.00244             0.50000             1105.00000          11050.00000         355.00000           50.00000            
293            0.01162             0.00281             0.50000             1156.00000          11560.00000         372.00000           30.00000            
294            0.01201             0.00249             0.50000             1132.00000          11320.00000         365.00000           20.00000            
295            0.01257             0.00335             0.50000             1112.00000          11120.00000         405.00000           10.00000            
296            0.00983             0.00385             0.50000             1120.00000          11200.00000         420.00000           110.00000           
297            0.00852             0.00417             0.50000             1126.00000          11260.00000         399.00000           20.00000            
298            0.01009             0.00334             0.50000             1139.00000          11390.00000         379.00000           30.00000            
299            0.01206             0.00340             0.50000             1100.00000          11000.00000         353.00000           60.00000            
300            0.00931             0.00230             0.50000             1127.00000          11270.00000         379.00000           20.00000            
301            0.01006             0.00181             0.50000             1122.00000          11220.00000         368.00000           30.00000            
302            0.01143             0.00154             0.50000             1098.00000          10980.00000         403.00000           30.00000            
303            0.01157             0.00119             0.50000             1153.00000          11530.00000         377.00000           40.00000            
304            0.01136             0.00125             0.50000             1081.00000          10810.00000         421.00000           20.00000            
305            0.01070             0.00119             0.50000             1147.00000          11470.00000         364.00000           30.00000            
306            0.00985             0.00164             0.50000             1108.00000          11080.00000         375.00000           60.00000            
307            0.00793             0.00213             0.50000             1151.00000          11510.00000         372.00000           80.00000            
308            0.00596             0.00142             0.50000             1096.00000          10960.00000         359.00000           60.00000            
309            0.00436             0.00151             0.50000             1140.00000          11400.00000         368.00000           50.00000            
310            0.00471             0.00151             0.50000             1108.00000          11080.00000         371.00000           10.00000            
311            0.00481             0.00143             0.50000             1111.00000          11110.00000         391.00000           10.00000            
312            0.00588             0.00204             0.50000             1119.00000          11190.00000         365.00000           0.00000             
313            0.00660             0.00188             0.50000             1111.00000          11110.00000         381.00000           20.00000            
